account_id,customer_id,account_type,account_status,open_date,current_balance,currency,credit_limit
83c7901e-118b-4d13-af93-6bdc6cee62c0,bd6f832d-f4be-4941-bf71-6faa8622f66b,loan,closed,2022-11-25,2748.12,JPY,
744af7ae-8cf9-4cb9-922f-72e169614be5,0b37bb86-edc3-49ef-966c-f8d487cf8d18,credit card,closed,2022-07-12,46838.15,JPY,24626.18
333a6453-e7b4-4aaa-999f-fd46a0ea7f0b,a95aac5b-6a8c-420a-8c33-43877008005b,loan,active,2021-11-05,-135.02,EUR,
7999a8ff-6d3e-4173-b416-7bb131c7a16b,e2b99c06-5928-4d78-83d8-e0e7985cc5f3,loan,dormant,2022-07-20,23487.78,GBP,
d5400e8e-b57a-4906-ab81-007eb434a963,2ddf5062-6334-4fd3-8e0b-c74161a6ae90,savings,closed,2022-07-11,48134.48,USD,
e07334ab-9840-4b51-84c3-271e91e34cdf,2efaf2b5-f8a8-4348-82e2-9c160a7b3a6f,checking,active,2022-01-19,14927.0,JPY,
11a522de-b4fb-421c-b8b4-b2a339a39687,32f4e8ec-3537-449d-9ce5-ca537d344ab5,savings,closed,2024-04-14,11355.65,JPY,
8a3577be-37c2-4a78-927f-fe7145e2714d,0a15a507-1a7d-4a67-96ec-515a7e2e508f,savings,dormant,2020-08-21,2269.22,USD,
0f1433e8-93a4-4fea-9714-d3349004d036,cd05aba5-c862-4ba2-9908-bceecf9b94d0,savings,active,2023-10-12,40991.27,USD,
d2fab2be-9640-40cd-b63a-6a903ab3d39f,d0255380-c1e3-4653-8501-d40950d072f0,savings,dormant,2021-02-23,30843.15,GBP,
03340258-eb4d-49d5-a3e5-bbf9e56efa36,2d2518bf-f6f2-4419-90ed-ed608a50f7ea,checking,dormant,2020-07-10,34637.83,JPY,
20e0e1d5-ef05-4df0-87ea-eb7424c03361,c627fcfd-95ab-416b-bbd5-d9d409ce9c9e,checking,closed,2022-03-04,38094.84,EUR,
98e4f268-0406-44ec-834f-2dc8cb907978,a991726b-f52f-4b7c-9a7e-cc01492861a8,checking,dormant,2022-01-25,17441.38,GBP,
362341fd-d246-4e6b-85a5-404c8646ceb5,37e819e4-c139-4c85-8af7-21977974d4ea,credit card,active,2023-02-04,44959.54,JPY,28380.59
ebbdbe0f-d87a-475b-ba94-612f279e19cb,d2d3fee0-cc57-42d8-b842-bc20a0ce60d6,loan,dormant,2021-07-21,21595.41,EUR,
45768356-0169-48ac-b22b-093cf042812c,9053c5d5-a600-4fa0-acc4-70b2368d0626,savings,dormant,2022-06-20,48496.25,JPY,
82426926-66fb-43b6-b8a8-690bd06cad17,4164dc9c-cc43-4045-9264-4519ce8eab56,checking,closed,2023-09-28,39133.13,USD,
97782c30-ae5d-4f78-b61a-44c8fb8ce4d8,fdd8864f-7d64-4b10-9e12-6028dd5e4ae8,credit card,dormant,2023-05-14,46980.85,USD,3652.6
e32b254e-9741-404f-a61d-53f22a875b38,c5a14623-bc12-4b07-a1ab-c65bf59f7799,checking,active,2024-06-25,11422.91,JPY,
209c6002-b583-4353-a7d2-f2326f8e4daf,da5d78af-6b9d-4aad-9cda-b00992d2d09c,credit card,closed,2021-08-19,13753.37,GBP,35486.54
0a6cc02a-b43a-4cef-8041-903058d8da6e,f0d9843d-5e9e-4075-9222-d6cc50433563,checking,closed,2021-08-19,3613.18,USD,
7415b508-ba4c-4ff4-8991-c3a36f835243,9646a7d5-01f7-4b3c-9e08-89e5c5b37056,loan,dormant,2022-01-07,40537.35,GBP,
2393bd5a-8a6c-4418-a4d8-078416ca57bd,f8899e50-1e96-47fa-b49c-77ddb45fa7dd,credit card,active,2022-11-21,9176.48,USD,32344.83
81424a31-bc53-48ff-91e6-3e5b22f7a227,ed194a7a-b4b9-4392-800f-cecec7960dce,checking,closed,2023-09-11,8053.42,JPY,
15d5cabc-83e8-4b7a-ac0c-b3250f462ea6,ec49e564-ebc2-4e88-ab0c-1c7bab2e8790,loan,active,2020-07-02,45820.11,GBP,
84d99c02-9f8d-4f86-8d8b-cd75660cb584,6f0603c8-2590-490b-a398-867ca30a56a7,credit card,dormant,2024-06-06,42799.54,GBP,19122.87
ace0b4b9-11ed-45a6-9a82-6d12a2de64da,a4efabc0-7b18-4432-8350-5ba715a533d1,loan,active,2022-05-28,33543.72,JPY,
ffcacaa1-dcb0-47cf-8ed5-89d1a25a0120,a3f9015c-d885-433e-8ee7-907eea65225a,loan,dormant,2022-05-22,44408.02,GBP,
b43a5470-f487-47cd-8980-6eec9745fbd6,779e0e90-3a99-4634-b38e-1007573c58eb,savings,closed,2021-08-17,2323.82,JPY,
a884d7fd-b6ab-4c5e-9d55-86e78220d49b,f2a6c5f2-626c-449e-a2f1-1362ea385748,loan,closed,2024-02-12,20589.78,JPY,
b3eb398b-f30e-405c-a79f-c8f16798c686,b8cd2d26-1c98-408f-8099-03409246706f,checking,active,2021-10-14,38526.07,EUR,
8a317577-3d85-4994-adcc-510ab8e8b4aa,55a3c447-6482-454d-beac-b95755d0291b,savings,dormant,2020-06-26,24863.53,USD,
e5d770d8-df4e-4410-8f5a-d4ae444cf099,d5df03ee-e9a0-46d2-9156-3d199c7fdbcd,loan,active,2022-11-02,-456.71,EUR,
0ea64489-6740-452d-b13c-bf8e8703198a,7b2a60b7-d966-4841-be98-c08e3dabd66d,credit card,dormant,2021-05-15,40889.95,EUR,28873.65
beabf536-9350-49e6-91d7-b13f8b285435,59882e38-83b6-4d14-9fa5-b36022236986,credit card,active,2023-08-25,28748.9,EUR,17489.76
fef0844f-1923-40a8-a2b5-1616b2be2ecd,dc987df3-5abf-4609-b994-4176a0b214c1,credit card,closed,2022-04-25,24521.43,GBP,42169.85
accab985-8867-47b7-8bdb-d74ebd2ac6c4,35c8c4e0-4532-4ac7-b249-b7debdb653b0,loan,dormant,2021-12-24,7006.28,EUR,
0293c60e-ba8c-462b-9b77-51ac8fb07f40,29fce673-b10f-4a6d-8902-8294ba4bd3f2,savings,dormant,2024-05-17,30183.47,USD,
4605a697-8db4-4043-bb45-065bbf01aa31,b68ae53b-3f36-47d8-9706-18f9a0852a1d,loan,dormant,2020-11-30,2625.3,EUR,
c40addeb-60f9-4eb1-a0fb-c0660beffe3f,9fb02bf3-aa6a-416c-a5e5-1fed0f104611,savings,active,2024-02-11,43274.06,GBP,
abea0262-e2b2-4aec-b429-cf3c96cda9a7,e4d1d780-9958-453d-83ea-af962015d8af,loan,dormant,2021-07-01,5324.88,EUR,
49f6e5e2-c349-480f-9520-3b1607f3b83a,5afec0dc-36fd-4064-b64d-571a6688d949,savings,closed,2020-05-10,13892.68,EUR,
3ee6cb95-3246-4835-aeef-c314d654034e,e2716a53-6cc0-4fa8-93ec-97cce8312cfe,checking,closed,2020-10-02,28304.85,EUR,
